Country Name;Country Code;2010
Arab World;ARB;26.27252158
Caribbean small states;CSS;16.99394838
East Asia & Pacific (all income levels);EAS;90.5121746
East Asia & Pacific (developing only);EAP;123.7291574
Euro area;EMU;130.02375
Europe & Central Asia (all income levels);ECS;32.5201301
Europe & Central Asia (developing only);ECA;17.81288975
European Union;EUU;120.0759016
Heavily indebted poor countries (HIPC);HPC;31.87531748
High income;HIC;33.16725736
High income: nonOECD;NOC;29.73359027
High income: OECD;OEC;33.52018868
Latin America & Caribbean (all income levels);LCN;29.24236031
Latin America & Caribbean (developing only);LAC;28.9592875
Least developed countries: UN classification;LDC;41.41337248
Low & middle income;LMY;60.25139645
Low income;LIC;52.92582003
Lower middle income;LMC;110.5328079
Middle East & North Africa (all income levels);MEA;34.06936104
Middle East & North Africa (developing only);MNA;38.33587739
Middle income;MIC;61.6177144
North America;NAC;18.83339601
Not classified;INX;
OECD members;OED;36.06984937
Other small states;OSS;9.909104698
Pacific island small states;PSS;42.31925364
Small states;SST;12.23973468
South Asia;SAS;342.2910702
Sub-Saharan Africa (all income levels);SSF;36.16710817
Sub-Saharan Africa (developing only);SSA;36.18044053
Upper middle income;UMC;42.36197435
World;WLD;53.15362444
Afghanistan;AFG;52.71913282
Albania;ALB;116.9708029
Algeria;DZA;14.89163385
American Samoa;ASM;342.1
Andorra;AND;180.5617021
Angola;AGO;15.30600786
Antigua and Barbuda;ATG;200
Argentina;ARG;14.76674377
Armenia;ARM;108.5674157
Aruba;ABW;600
Australia;AUS;2.902646343
Austria;AUT;101.7833313
Azerbaijan;AZE;109.5860566
Bahamas. The;BHS;34.26573427
Bahrain;BHR;1660.526316
Bangladesh;BGD;1142.29085
Barbados;BRB;637.2093023
Belarus;BLR;46.79025737
Belgium;BEL;359.8414795
Belize;BLZ;15.1249452
Benin;BEN;80.00361598
Bermuda;BMU;1292
Bhutan;BTN;18.91117479
Bolivia;BOL;9.165512785
Bosnia and Herzegovina;BIH;73.7254902
Botswana;BWA;3.541368906
Brazil;BRA;23.04484232
Brunei Darussalam;BRN;75.71157495
Bulgaria;BGR;69.39941046
Burkina Faso;BFA;60.19005848
Burundi;BDI;326.4018692
Cambodia;KHM;80.0985724
Cameroon;CMR;41.460938
Canada;CAN;3.752786328
Cape Verde;CPV;123.0769231
Cayman Islands;CYM;234.2916667
Central African Republic;CAF;7.064432245
Chad;TCD;8.915978399
Channel Islands;CHI;807.1157895
Chile;CHL;23.01680901
China;CHN;143.4792677
Colombia;COL;41.7260027
Comoros;COM;395.1612903
Congo. Dem. Rep.;COD;29.09728502
Congo. Rep.;COG;11.83894583
Costa Rica;CRI;91.24559342
Cote d'Ivoire;CIV;62.06918239
Croatia;HRV;78.94924946
Cuba;CUB;105.7685081
Curacao;CUW;321.3252236
Cyprus;CYP;119.3722944
Czech Republic;CZE;136.1812298
Denmark;DNK;130.732972
Djibouti;DJI;38.35202761
Dominica;DMA;90.66666667
Dominican Republic;DOM;205.4428808
Ecuador;ECU;58.24206797
Egypt. Arab Rep.;EGY;81.49178763
El Salvador;SLV;298.8899614
Equatorial Guinea;GNQ;24.95543672
Eritrea;ERI;52.01980198
Estonia;EST;31.61122906
Ethiopia;ETH;82.95
Faeroe Islands;FRO;35.04172662
Fiji;FJI;47.07170224
Finland;FIN;17.65054294
France;FRA;118.4950517
French Polynesia;PYF;74.04371585
Gabon;GAB;5.840804129
Gambia. The;GMB;172.9
Georgia;GEO;77.88935932
Germany;DEU;234.5801899
Ghana;GHA;107.1987343
Gibraltar;GIB;2924.4
Greece;GRC;87.78898371
Greenland;GRL;0.137736631
Grenada;GRD;305.8823529
Guam;GUM;331.4814815
Guatemala;GTM;134.2758492
Guinea;GIN;40.62347387
Guinea-Bissau;GNB;53.87624467
Guyana;GUY;3.835407671
Haiti;HTI;362.5907112
Honduras;HND;67.92385378
Hong Kong SAR. China;HKG;6783.109405
Hungary;HUN;110.4606208
Iceland;ISL;3.172069825
India;IND;411.8858869
Indonesia;IDN;132.410009
Iran. Islamic Rep.;IRN;45.42261521
Iraq;IRQ;73.74976976
Ireland;IRL;64.9586297
Isle of Man;IMN;145.3842105
Israel;ISR;352.310536
Italy;ITA;205.6265724
Jamaica;JAM;249.4921514
Japan;JPN;349.659808
Jordan;JOR;68.11218743
Kazakhstan;KAZ;6.046227359
Kenya;KEN;71.18283726
Kiribati;KIR;123.4567901
Korea. Dem. Rep.;PRK;202.1925089
Korea. Rep.;KOR;503.3470649
Kosovo;KSV;166.712593
Kuwait;KWT;153.5353535
Kyrgyz Republic;KGZ;28.40458811
Lao PDR;LAO;26.86741768
Latvia;LVA;36.00836282
Lebanon;LBN;413.1964809
Lesotho;LSO;71.5085639
Liberia;LBR;41.46594684
Libya;LBY;3.611739432
Liechtenstein;LIE;225.2
Lithuania;LTU;52.4493378
Luxembourg;LUX;195.7528958
Macao SAR. China;MAC;19428.57143
Macedonia. FYR;MKD;81.68120539
Madagascar;MDG;35.61921794
Malawi;MWI;158.0504879
Malaysia;MYS;86.4434637
Maldives;MDV;1053.333333
Mali;MLI;12.59639892
Malta;MLT;1300
Marshall Islands;MHL;300.2111111
Mauritania;MRT;3.356941884
Mauritius;MUS;631.0344828
Mayotte;MYT;551.3513514
Mexico;MEX;58.34666529
Micronesia. Fed. Sts.;FSM;158.5714286
Moldova;MDA;123.9948481
Monaco;MCO;17703.5
Mongolia;MNG;1.773990062
Montenegro;MNE;46.98884758
Morocco;MAR;71.59085817
Mozambique;MOZ;29.74388972
Myanmar;MMR;73.39178602
Namibia;NAM;2.773020442
Nepal;NPL;208.9919777
Netherlands;NLD;492.6178476
New Caledonia;NCL;13.51203501
New Zealand;NZL;16.58881167
Nicaragua;NIC;48.10536812
Niger;NER;12.24599353
Nigeria;NGA;173.9440254
Northern Mariana Islands;MNP;132.4282609
